manufacturer_slug,name,year_released,year_discontinued,category,target_use,is_current,cell_count,line_material,riser_config,manufacturer_url,description,size_label,flat_area_m2,flat_span_m,flat_aspect_ratio,proj_area_m2,proj_span_m,proj_aspect_ratio,wing_weight_kg,ptv_min_kg,ptv_max_kg,speed_trim_kmh,speed_max_kmh,glide_ratio_best,min_sink_ms,cert_standard,cert_classification,cert_test_lab,cert_test_date,cert_report_url
ozone,Vibe GT,2025,,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"Mid-B GT wing. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. 5 sizes.",ML,27.0,12.13,5.45,22.5,9.27,3.82,4.55,85,103,,,,,EN,B,,,
ozone,Vibe GT,2025,,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"Mid-B GT wing. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. 5 sizes.",L,29.0,12.57,5.45,24.2,9.61,3.82,4.8,95,115,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",XS,20.05,10.69,5.7,17.0,8.43,4.18,4.32,55,72,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",S,22.54,11.34,5.7,19.11,8.94,4.18,4.74,65,85,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",MS,24.04,11.71,5.7,20.38,9.23,4.18,4.96,75,95,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",ML,25.38,12.03,5.7,21.52,9.49,4.18,5.19,85,105,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",L,26.7,12.34,5.7,22.64,9.73,4.18,5.39,95,115,,,,,EN,B,,,
ozone,Rush 6,2022,,paraglider,xc,true,62,Dominico 30D / Porcher 7000 E71,3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/rush-6,"Top EN-B XC. ACR from Delta 4. 62 cells, AR 5.7. 6 sizes XS–XL.",XL,28.67,12.79,5.7,24.31,10.09,4.18,5.65,110,130,,,,,EN,B,,,
ozone,Swift 6,2023,,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight EN-B. Same geometry as Rush 6, ~900 g lighter. 5 sizes XS–L.",XS,20.05,10.69,5.7,17.0,8.43,4.18,3.57,55,72,,,,,EN,B,,,
ozone,Swift 6,2023,,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight EN-B. Same geometry as Rush 6, ~900 g lighter. 5 sizes XS–L.",S,22.54,11.34,5.7,19.11,8.94,4.18,3.88,65,85,,,,,EN,B,,,
ozone,Swift 6,2023,,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight EN-B. Same geometry as Rush 6, ~900 g lighter. 5 sizes XS–L.",MS,24.04,11.71,5.7,20.38,9.23,4.18,4.11,75,95,,,,,EN,B,,,
ozone,Swift 6,2023,,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight EN-B. Same geometry as Rush 6, ~900 g lighter. 5 sizes XS–L.",ML,25.38,12.03,5.7,21.52,9.49,4.18,4.27,85,105,,,,,EN,B,,,
ozone,Swift 6,2023,,paraglider,xc,true,62,Dominico N20D / Porcher 7000 E71 (light),3/2-liner hybrid (ACR),https://flyozone.com/paragliders/products/gliders/swift-6,"Lightweight EN-B. Same geometry as Rush 6, ~900 g lighter. 5 sizes XS–L.",L,26.7,12.34,5.7,22.64,9.73,4.18,4.41,95,115,,,,,EN,B,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",XS,19.3,10.82,6.07,16.4,8.66,4.57,4.35,55,72,,,,,EN,C,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",S,21.1,11.32,6.07,17.9,9.04,4.57,4.75,65,82,,,,,EN,C,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",MS,22.8,11.77,6.07,19.4,9.34,4.5,5.05,75,92,,,,,EN,C,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",ML,24.4,12.16,6.07,20.7,9.66,4.5,5.35,85,105,,,,,EN,C,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",L,25.9,12.53,6.07,22.04,10.0,4.54,5.6,95,115,,,,,EN,C,,,
ozone,Delta 5,2025,,paraglider,xc,true,65,Dominico 30D (standard),2-liner (A/B adjustable B-handles),https://flyozone.com/paragliders/products/gliders/delta-5,"Lowest-AR 2-liner EN-C. 65 cells, AR 6.07. 6 sizes XS–XL.",XL,27.8,12.99,6.07,23.7,10.38,4.54,5.95,110,130,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C. AR 6.05, 66 cells. ~900 g lighter than Delta 5. 5 sizes XS–L.",XS,19.3,10.81,6.05,16.4,8.52,4.43,3.75,55,70,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C. AR 6.05, 66 cells. ~900 g lighter than Delta 5. 5 sizes XS–L.",S,21.7,11.46,6.05,18.4,9.04,4.44,4.0,65,85,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C. AR 6.05, 66 cells. ~900 g lighter than Delta 5. 5 sizes XS–L.",MS,23.1,11.83,6.05,19.6,9.33,4.44,4.2,75,95,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C. AR 6.05, 66 cells. ~900 g lighter than Delta 5. 5 sizes XS–L.",ML,24.4,12.16,6.05,20.7,9.59,4.44,4.42,85,105,,,,,EN,C,,,
ozone,Alpina 4 GT,2025,,paraglider,xc,true,66,Dominico N20D (semi-light GT),3-liner 2.5 (ACR),https://flyozone.com/paragliders/products/gliders/alpina-4-gt,"Semi-light 3-liner EN-C. AR 6.05, 66 cells. ~900 g lighter than Delta 5. 5 sizes XS–L.",L,25.7,12.47,6.05,21.8,9.84,4.44,4.7,95,115,,,,,EN,C,,,
ozone,Alpina 5,2025,,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C. Delta 5/Zeolite GT internals. ~800 g lighter than Delta 5. 5 sizes XS–L.,XS,19.3,10.82,6.07,16.4,8.66,4.57,3.55,55,72,,,,,EN,C,,,
ozone,Alpina 5,2025,,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C. Delta 5/Zeolite GT internals. ~800 g lighter than Delta 5. 5 sizes XS–L.,S,21.1,11.32,6.07,17.9,9.04,4.57,3.9,65,82,,,,,EN,C,,,
ozone,Alpina 5,2025,,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C. Delta 5/Zeolite GT internals. ~800 g lighter than Delta 5. 5 sizes XS–L.,MS,22.8,11.77,6.07,19.4,9.34,4.57,4.2,75,92,,,,,EN,C,,,
ozone,Alpina 5,2025,,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C. Delta 5/Zeolite GT internals. ~800 g lighter than Delta 5. 5 sizes XS–L.,ML,24.4,12.16,6.07,20.7,9.66,4.57,4.45,85,105,,,,,EN,C,,,
ozone,Alpina 5,2025,,paraglider,xc,true,65,"Dominico N20D / Porcher 7000 E71 (light, Zeolite GT structure)",2-liner (A/B),https://flyozone.com/paragliders/products/gliders/alpina-5,Lightweight 2-liner EN-C. Delta 5/Zeolite GT internals. ~800 g lighter than Delta 5. 5 sizes XS–L.,L,25.9,12.53,6.07,22.04,10.0,4.54,4.7,95,115,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",XS,19.1,11.1,6.5,16.1,8.7,4.7,4.28,60,75,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",S,20.7,11.6,6.5,17.4,9.0,4.66,4.47,70,85,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",MS,22.3,12.0,6.5,18.9,9.4,4.68,4.75,80,95,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",ML,23.9,12.5,6.5,20.2,9.7,4.66,5.0,90,105,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",L,25.5,12.9,6.5,21.5,10.1,4.74,5.27,100,115,,,,,EN,C,,,
ozone,Photon,2023,,paraglider,xc,true,71,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/photon,"Sport 2-liner EN-C. 71 cells, AR 6.5. Near-competition performance. 6 sizes XS–XL.",XL,27.3,13.3,6.5,23.1,10.4,4.68,5.55,110,130,,,,,EN,C,,,
ozone,Lyght,2024,,paraglider,hike_and_fly,true,71,Dominico N20D / Porcher 7000 E71 (Zeolite GT structure),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/lyght,"Ultralight EN-C, 800 g lighter than Photon. Same 71 cells/AR 6.5. 5 sizes XS–L.",XS,19.1,11.1,6.5,16.1,8.7,4.7,3.55,60,75,,,,,EN,C,,,
ozone,Lyght,2024,,paraglider,hike_and_fly,true,71,Dominico N20D / Porcher 7000 E71 (Zeolite GT structure),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/lyght,"Ultralight EN-C, 800 g lighter than Photon. Same 71 cells/AR 6.5. 5 sizes XS–L.",S,20.7,11.6,6.5,17.4,9.0,4.66,3.72,70,85,,,,,EN,C,,,
ozone,Lyght,2024,,paraglider,hike_and_fly,true,71,Dominico N20D / Porcher 7000 E71 (Zeolite GT structure),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/lyght,"Ultralight EN-C, 800 g lighter than Photon. Same 71 cells/AR 6.5. 5 sizes XS–L.",MS,22.3,12.0,6.5,18.9,9.4,4.68,3.95,80,95,,,,,EN,C,,,
ozone,Lyght,2024,,paraglider,hike_and_fly,true,71,Dominico N20D / Porcher 7000 E71 (Zeolite GT structure),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/lyght,"Ultralight EN-C, 800 g lighter than Photon. Same 71 cells/AR 6.5. 5 sizes XS–L.",ML,23.9,12.5,6.5,20.2,9.7,4.66,4.16,90,105,,,,,EN,C,,,
ozone,Lyght,2024,,paraglider,hike_and_fly,true,71,Dominico N20D / Porcher 7000 E71 (Zeolite GT structure),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/lyght,"Ultralight EN-C, 800 g lighter than Photon. Same 71 cells/AR 6.5. 5 sizes XS–L.",L,25.5,12.9,6.5,21.5,10.1,4.74,4.4,100,115,,,,,EN,C,,,
ozone,Zeolite 2 GT,2024,,paraglider,hike_and_fly,true,71,Dominico N10D / Porcher 7000 E71 (ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2-gt,"Ultra-light EN-D. 71 cells, AR 6.8. 3-cell bridge spanwise. 5 sizes XS–L.",XS,18.9,11.3,6.8,15.9,8.9,4.99,3.38,60,75,,,,,EN,D,,,
ozone,Zeolite 2 GT,2024,,paraglider,hike_and_fly,true,71,Dominico N10D / Porcher 7000 E71 (ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2-gt,"Ultra-light EN-D. 71 cells, AR 6.8. 3-cell bridge spanwise. 5 sizes XS–L.",S,20.4,11.8,6.8,17.2,9.3,5.03,3.56,65,85,,,,,EN,D,,,
ozone,Zeolite 2 GT,2024,,paraglider,hike_and_fly,true,71,Dominico N10D / Porcher 7000 E71 (ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2-gt,"Ultra-light EN-D. 71 cells, AR 6.8. 3-cell bridge spanwise. 5 sizes XS–L.",MS,22.0,12.2,6.8,18.5,9.6,4.99,3.75,80,95,,,,,EN,D,,,
ozone,Zeolite 2 GT,2024,,paraglider,hike_and_fly,true,71,Dominico N10D / Porcher 7000 E71 (ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2-gt,"Ultra-light EN-D. 71 cells, AR 6.8. 3-cell bridge spanwise. 5 sizes XS–L.",ML,23.5,12.6,6.8,19.8,9.9,4.95,3.91,90,105,,,,,EN,D,,,
ozone,Zeolite 2 GT,2024,,paraglider,hike_and_fly,true,71,Dominico N10D / Porcher 7000 E71 (ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2-gt,"Ultra-light EN-D. 71 cells, AR 6.8. 3-cell bridge spanwise. 5 sizes XS–L.",L,25.1,13.1,6.8,21.1,10.3,5.03,4.19,100,115,,,,,EN,D,,,
ozone,Zeolite 2,2023,,paraglider,hike_and_fly,true,71,Full Dominico 10D / Dyneema risers (ultra-ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2,"Ultra-light EN-D X-Alps. Full 10D top, Dyneema risers. 2023 X-Alps podium wing. 5 sizes XS–L.",XS,18.9,11.3,6.8,15.9,8.9,4.99,2.5,60,75,,,,,EN,D,,,
ozone,Zeolite 2,2023,,paraglider,hike_and_fly,true,71,Full Dominico 10D / Dyneema risers (ultra-ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2,"Ultra-light EN-D X-Alps. Full 10D top, Dyneema risers. 2023 X-Alps podium wing. 5 sizes XS–L.",S,20.4,11.8,6.8,17.2,9.3,5.03,2.7,65,85,,,,,EN,D,,,
ozone,Zeolite 2,2023,,paraglider,hike_and_fly,true,71,Full Dominico 10D / Dyneema risers (ultra-ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2,"Ultra-light EN-D X-Alps. Full 10D top, Dyneema risers. 2023 X-Alps podium wing. 5 sizes XS–L.",MS,22.0,12.2,6.8,18.5,9.6,4.99,2.9,80,95,,,,,EN,D,,,
ozone,Zeolite 2,2023,,paraglider,hike_and_fly,true,71,Full Dominico 10D / Dyneema risers (ultra-ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2,"Ultra-light EN-D X-Alps. Full 10D top, Dyneema risers. 2023 X-Alps podium wing. 5 sizes XS–L.",ML,23.5,12.6,6.8,19.8,9.9,4.95,3.1,90,105,,,,,EN,D,,,
ozone,Zeolite 2,2023,,paraglider,hike_and_fly,true,71,Full Dominico 10D / Dyneema risers (ultra-ultralight),2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeolite-2,"Ultra-light EN-D X-Alps. Full 10D top, Dyneema risers. 2023 X-Alps podium wing. 5 sizes XS–L.",L,25.1,13.1,6.8,21.1,10.3,5.03,3.35,100,115,,,,,EN,D,,,
ozone,Zeno 2,2022,,paraglider,competition,true,78,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeno-2,"EN-D XC 2-liner. 78 cells, AR 7.2. Fastest EN-D at release. 4 sizes S–L.",S,21.0,12.3,7.2,17.7,9.7,5.32,4.7,75,90,,,,,EN,D,,,
ozone,Zeno 2,2022,,paraglider,competition,true,78,Dominico 30D / Porcher 7000 E71,2-liner (A/B),https://flyozone.com/paragliders/products/gliders/zeno-2,"EN-D XC 2-liner. 78 cells, AR 7.2. Fastest EN-D at release. 4 sizes S–L.",MS,22.5,12.7,7.2,18.9,10.0,5.29,4.92,85,100,,,,,EN,D,,,
